id,domain,original_prompt,enhanced_prompt,poas_score,audio_file
0,music,"A cinematic orchestral soundtrack with powerful strings and brass, professional studio recording, balanced frequencies, high fidelity audio","A cinematic orchestral soundtrack with powerful strings and brass, professional studio recording, balanced frequencies, high fidelity audio | Features: high quality, clear audio, realistic soundscape, lossless format",0.4502,outputs/audio/music_0.wav
1,music,"A lo-fi chill hip hop beat with vinyl crackle, soft drums, relaxing mood, well-mixed and mastered audio","A lo-fi chill hip hop beat with vinyl crackle, soft drums, relaxing mood, well-mixed and mastered audio | Features: high quality, clear audio, realistic soundscape, lossless format",0.4121,outputs/audio/music_1.wav
2,music,"A jazz piano performance in a cozy lounge, warm tones, clear acoustics, high quality recording","A jazz piano performance in a cozy lounge, warm tones, clear acoustics, high quality recording | Features: grand piano, sustained pedal, classical reverb, high fidelity audio",0.484,outputs/audio/music_2.wav
3,music,"An energetic EDM track with deep bass drops and bright synths, club-quality mixing, crisp sound design","An energetic EDM track with deep bass drops and bright synths, club-quality mixing, crisp sound design | Features: high quality, clear audio, realistic soundscape, lossless format",0.3647,outputs/audio/music_3.wav
4,music,"A classical violin solo in a concert hall, emotional expression, rich harmonics, studio quality audio","A classical violin solo in a concert hall, emotional expression, rich harmonics, studio quality audio | Features: high quality, clear audio, realistic soundscape, lossless format",0.3558,outputs/audio/music_4.wav
5,music,"A soft acoustic guitar melody, natural resonance, clean recording, intimate environment","A soft acoustic guitar melody, natural resonance, clean recording, intimate environment | Features: high quality, crisp acoustic resonance, rich harmonics, 44.1kHz standard studio recording",0.485,outputs/audio/music_5.wav
6,music,"A rock song with electric guitar riffs and drums, high energy, professional studio mix","A rock song with electric guitar riffs and drums, high energy, professional studio mix | Features: high quality, crisp acoustic resonance, rich harmonics, 44.1kHz standard studio recording",0.4053,outputs/audio/music_6.wav
7,music,"A cinematic ambient soundtrack with deep textures, immersive sound design, high clarity","A cinematic ambient soundtrack with deep textures, immersive sound design, high clarity | Features: high quality, clear audio, realistic soundscape, lossless format",0.3312,outputs/audio/music_7.wav
8,music,"A techno beat with heavy bass and rhythmic percussion, electronic precision, high fidelity","A techno beat with heavy bass and rhythmic percussion, electronic precision, high fidelity | Features: 128 bpm, sidechain compression, 808 kick, sub-bass frequencies, electronic dynamic range",0.4083,outputs/audio/music_8.wav
9,music,"A flute melody in a peaceful forest, natural ambience, realistic environmental recording","A flute melody in a peaceful forest, natural ambience, realistic environmental recording | Features: high quality, clear audio, realistic soundscape, lossless format",0.3853,outputs/audio/music_9.wav
10,speech,"A high-quality studio recording of a human female voice speaking clearly and naturally, realistic speech, precise articulation, no background noise, professional broadcast audio","A high-quality studio recording of a human female voice speaking clearly and naturally, realistic speech, precise articulation, no background noise, professional broadcast audio | Features: close-mic, voice-over quality, clear diction, noise-free, isolated vocal track",0.2962,outputs/audio/speech_10.wav
11,speech,"A human male voice delivering a speech with clear pronunciation and emotion, studio recording, realistic tone","A human male voice delivering a speech with clear pronunciation and emotion, studio recording, realistic tone | Features: close-mic, voice-over quality, clear diction, noise-free, isolated vocal track",0.3822,outputs/audio/speech_11.wav
