id,domain,original_prompt,enhanced_prompt,rag_used,gender,emotion,num_steps,audio_length_s,poas_score,clap_score,semantic_score,transcript,audio_file
e0c6bd39,music,A melancholic jazz piano trio in a dimly lit club,A melancholic jazz piano trio in a dimly lit club,False,female,neutral,150,8.0,0.4613,0.4613,0.0,,outputs\audio\music_rag_off_e0c6bd39.wav
9a1909c0,music,Energetic techno loop with a driving 808 kick,Energetic techno loop with a driving 808 kick,False,female,neutral,200,8.0,0.3852,0.3852,0.0,,outputs\audio\music_rag_off_9a1909c0.wav
cc386177,music,Ambient synthesizer drone slowly evolving,Ambient synthesizer drone slowly evolving,False,female,neutral,180,8.0,0.1024,0.1024,0.0,,outputs\audio\music_rag_off_cc386177.wav
c7555ede,music,A cheerful acoustic guitar folk song in an open field,A cheerful acoustic guitar folk song in an open field,False,female,neutral,160,8.0,0.3595,0.3595,0.0,,outputs\audio\music_rag_off_c7555ede.wav
53109d56,music,A dramatic orchestral swell building to a climax,A dramatic orchestral swell building to a climax,False,female,neutral,200,8.0,0.3693,0.3693,0.0,,outputs\audio\music_rag_off_53109d56.wav
734c231d,music,Soft piano melody over gentle rain in a quiet room,Soft piano melody over gentle rain in a quiet room,False,female,neutral,150,8.0,0.1596,0.1596,0.0,,outputs\audio\music_rag_off_734c231d.wav
08efc496,music,A funky bass guitar groove with light percussion,A funky bass guitar groove with light percussion,False,female,neutral,140,8.0,0.5367,0.5367,0.0,,outputs\audio\music_rag_off_08efc496.wav
92f68978,sfx,A heavy wooden door slamming shut in an empty hallway,A heavy wooden door slamming shut in an empty hallway,False,female,neutral,120,6.0,0.503,0.503,0.0,,outputs\audio\sfx_rag_off_92f68978.wav
e122bb03,sfx,A large explosion with debris and distant echo,A large explosion with debris and distant echo,False,female,neutral,200,7.0,0.4428,0.4428,0.0,,outputs\audio\sfx_rag_off_e122bb03.wav
b67c9db0,sfx,Footsteps walking on gravel at a steady pace,Footsteps walking on gravel at a steady pace,False,female,neutral,100,6.0,0.3723,0.3723,0.0,,outputs\audio\sfx_rag_off_b67c9db0.wav
dc148ccc,sfx,A clock ticking quietly in a silent room,A clock ticking quietly in a silent room,False,female,neutral,80,5.0,0.3107,0.3107,0.0,,outputs\audio\sfx_rag_off_dc148ccc.wav
6adc2018,sfx,An engine revving and then fading into the distance,An engine revving and then fading into the distance,False,female,neutral,120,6.0,0.0692,0.0692,0.0,,outputs\audio\sfx_rag_off_6adc2018.wav
4081a2e7,sfx,Thunder cracking loudly followed by heavy rain,Thunder cracking loudly followed by heavy rain,False,female,neutral,150,7.0,0.393,0.393,0.0,,outputs\audio\sfx_rag_off_4081a2e7.wav
36a17e47,sfx,Keys jingling and a door handle clicking open,Keys jingling and a door handle clicking open,False,female,neutral,80,5.0,0.1118,0.1118,0.0,,outputs\audio\sfx_rag_off_36a17e47.wav
d6c31e4c,sfx,A dog barking repeatedly in an outdoor yard,A dog barking repeatedly in an outdoor yard,False,female,neutral,100,6.0,0.5299,0.5299,0.0,,outputs\audio\sfx_rag_off_d6c31e4c.wav
4113994a,ambient,A quiet forest at dawn with birds and a distant stream,A quiet forest at dawn with birds and a distant stream,False,female,neutral,160,8.0,0.478,0.478,0.0,,outputs\audio\ambient_rag_off_4113994a.wav
96a73480,ambient,Heavy rain falling on a rooftop during a thunderstorm,Heavy rain falling on a rooftop during a thunderstorm,False,female,neutral,180,8.0,0.1804,0.1804,0.0,,outputs\audio\ambient_rag_off_96a73480.wav
1ebf2bb7,ambient,A busy city intersection with traffic and pedestrians,A busy city intersection with traffic and pedestrians,False,female,neutral,140,8.0,0.2813,0.2813,0.0,,outputs\audio\ambient_rag_off_1ebf2bb7.wav
ff09a09d,ambient,Ocean waves rolling onto a sandy beach on a calm day,Ocean waves rolling onto a sandy beach on a calm day,False,female,neutral,160,8.0,0.5107,0.5107,0.0,,outputs\audio\ambient_rag_off_ff09a09d.wav
d7c9ccc2,ambient,A cosy coffee shop with soft chatter and an espresso machine,A cosy coffee shop with soft chatter and an espresso machine,False,female,neutral,140,8.0,0.2969,0.2969,0.0,,outputs\audio\ambient_rag_off_d7c9ccc2.wav
a69af76f,ambient,Wind blowing through tall trees in an open countryside,Wind blowing through tall trees in an open countryside,False,female,neutral,150,8.0,0.2711,0.2711,0.0,,outputs\audio\ambient_rag_off_a69af76f.wav
649138b3,ambient,A crackling fireplace in a quiet living room at night,A crackling fireplace in a quiet living room at night,False,female,neutral,130,8.0,0.2641,0.2641,0.0,,outputs\audio\ambient_rag_off_649138b3.wav
beb43e24,speech,Welcome to the annual science fair. Please find your seats.,Welcome to the annual science fair. Please find your seats.,False,female,neutral,80,8.0,0.1938,0.1938,0.0,,outputs\audio\speech_rag_off_beb43e24.wav
ef01da22,speech,I can't believe what just happened. This is incredible.,I can't believe what just happened. This is incredible.,False,female,excited,80,8.0,0.116,0.116,0.0,,outputs\audio\speech_rag_off_ef01da22.wav
7ce02f4a,speech,The package has been delivered to your front door.,The package has been delivered to your front door.,False,male,calm,80,8.0,0.1844,0.1844,0.0,,outputs\audio\speech_rag_off_7ce02f4a.wav
242b3e5b,speech,Please press one to speak to an operator or two to leave a message.,Please press one to speak to an operator or two to leave a message.,False,female,neutral,80,8.0,0.334,0.334,0.0,,outputs\audio\speech_rag_off_242b3e5b.wav
1283cf3e,speech,The train now arriving at platform four is the delayed service to Manchester.,The train now arriving at platform four is the delayed service to Manchester.,False,male,neutral,80,8.0,0.1373,0.1373,0.0,,outputs\audio\speech_rag_off_1283cf3e.wav
1ce02833,speech,I'm so sorry to hear that. Are you doing okay?,I'm so sorry to hear that. Are you doing okay?,False,female,sad,80,8.0,0.2334,0.2334,0.0,,outputs\audio\speech_rag_off_1ce02833.wav
